,url,name,price estimation,time prep,time cook,time rest,kcal per portion,ingredients,quantities,,,,,,,,,,,,,,,,,,,,,,,,
68,https://jow.fr/recipes/boeuf-haricots-verts-et-puree-81ot4z2ubhtc00vb05a9,Bœuf haricots verts & purée,+4 € par portion,5 minutes,20 minutes,0 minutes,659 kcal,['Haricot vert (frais)', 'Pommes de terre', 'Lait', 'Bœuf (steak)', 'Beurre'],['100 g', '250 g', '5 cl', '1  ', '20 g'],,,,,,,,,,,,,,,,
69,https://jow.fr/recipes/poulet-et-poelee-de-legumes-au-curry-81otf6ombhtc00vb05aj,Poulet & poêlée de légumes au curry,2 € et 4 € par portion,6 minutes,15 minutes,0 minutes,300 kcal,['Poulet (escalope)', 'Courgette', 'Carotte (frais)', 'Curry (poudre)', 'Ail', 'Coriandre (frais)'],['1  ', '1/2  ', '2  ', '1 càc', '1/2 gou.', '1/5 bou.'],,,,,,,,,,,,,,
70,https://jow.fr/recipes/cabillaud-et-poelee-legumes-au-curry-81ovbbjk8rw000u417td,Cabillaud & poêlée légumes au curry,+4 € par portion,6 minutes,15 minutes,0 minutes,231 kcal,['Cabillaud (frais)', 'Courgette', 'Carotte (frais)', 'Curry (poudre)', 'Ail', 'Coriandre (frais)'],['1  ', '1/2  ', '2  ', '1 càc', '1/2 gou.', '1/5 bou.'],,,,,,,,,,,,,,
71,https://jow.fr/recipes/cabillaud-haricots-verts-et-puree-81ovci7k8rw000u417tn,Cabillaud haricots verts & purée,+4 € par portion,5 minutes,18 minutes,0 minutes,519 kcal,['Haricot vert (frais)', 'Pommes de terre', 'Lait', 'Cabillaud (frais)', 'Beurre'],['100 g', '250 g', '5 cl', '1  ', '20 g'],,,,,,,,,,,,,,,,
72,https://jow.fr/recipes/salade-de-haricots-verts-81pecv7r1lkg00ws06kg,Salade de haricots verts,2 € et 4 € par portion,5 minutes,10 minutes,0 minutes,241 kcal,['Haricot vert (frais)', 'Feta', 'Noisette', 'Citron jaune', 'Coriandre (frais)'],['250 g', '20 g', '10 g', '1/4  ', '1/5 bou.'],,,,,,,,,,,,,,,,
73,https://jow.fr/recipes/galette-saumon-81pfbzev1lkg00ws06qq,Galette Saumon,2 € et 4 € par portion,3 minutes,5 minutes,0 minutes,353 kcal,['Galette bretonne', 'Crème fraîche', 'Saumon (fumé)', 'Ciboulette'],['1  ', '1 càs', '2 tran.', '1/5 bou.'],,,,,,,,,,,,,,,,,,
74,https://jow.fr/recipes/galette-complete-81pfd91j1lkg00ws06qy,Galette complète,-2 € par portion,3 minutes,5 minutes,0 minutes,388 kcal,['Jambon blanc', 'Œuf', 'Galette bretonne', 'Fromage râpé'],['1 tran.', '1  ', '1  ', '30 g'],,,,,,,,,,,,,,,,,,
75,https://jow.fr/recipes/galette-seguin-81pfiebr1lkg00ws06s9,Galette Seguin,2 € et 4 € par portion,2 minutes,5 minutes,0 minutes,383 kcal,['Galette bretonne', 'Jambon blanc', 'Chèvre frais', 'Crème fraîche', 'Noix', 'Miel (liquide)'],['1  ', '1 tran.', '40 g', '1/2 càs', '10 g', '1 càc'],,,,,,,,,,,,,,
76,https://jow.fr/recipes/poulet-satay-81q2bc9ajxsw00wa0t35,Poulet satay,2 € et 4 € par portion,4 minutes,15 minutes,0 minutes,713 kcal,['Riz', 'Poulet (escalope)', 'Beurre de cacahuète', 'Lait de coco', 'Oignon rouge', 'Piment de Cayenne', 'Pics à brochette'],['70 g', '1  ', '1/2 càs', '10 cl', '1/4  ', '1 pinc.', '2  '],,,,,,,,,,,,
77,https://jow.fr/recipes/galette-roquefort-81qj20po7z2o00wk0l1p,Galette Roquefort,2 € et 4 € par portion,5 minutes,5 minutes,0 minutes,393 kcal,['Galette bretonne', 'Jambon blanc', 'Roquefort', 'Crème fraîche', 'Noix'],['1  ', '1 tran.', '30 g', '1/2 càs', '10 g'],,,,,,,,,,,,,,,,
78,https://jow.fr/recipes/tomates-farcies-81svjp7u34c000vm1cwh,Tomates farcies,2 € et 4 € par portion,12 minutes,45 minutes,0 minutes,693 kcal,['Tomate (à cuire)', 'Riz', 'Chair à saucisse', 'Persil (frais)', 'Échalote', 'Ail', 'Pain de mie', 'Lait'],['2  ', '80 g', '100 g', '1/10 bou.', '1/4  ', '1/4 gou.', '1/2 tran.', '2 càs'],,,,,,,,,,
79,https://jow.fr/recipes/potimarron-roti-81subjvu34c000vm1cj1,Potimarron rôti,2 € et 4 € par portion,7 minutes,40 minutes,0 minutes,631 kcal,['Potimarron', 'Chèvre frais', 'Mélange céréales', 'Noisette', 'Oignon rouge', 'Menthe (feuilles)'],['1/4  ', '20 g', '80 g', '20 g', '1/2  ', '1/5 bou.'],,,,,,,,,,,,,,
80,https://jow.fr/recipes/pasta-petits-pois-lardons-81sxkaju34c000vm1cwp,Pasta petits pois lardons,2 € et 4 € par portion,2 minutes,10 minutes,0 minutes,768 kcal,['Pâtes (Pipe rigate)', 'Petits pois (frais)', 'Lardons', 'Crème liquide', 'Parmesan (râpé)', 'Menthe (feuilles)'],['100 g', '100 g', '75 g', '2 cl', '2 càs', '1/50 bou.'],,,,,,,,,,,,,,
81,https://jow.fr/recipes/tatin-de-tomates-81ste44q34c000vm1ci1,Tatin de tomates,-2 € par portion,6 minutes,40 minutes,0 minutes,281 kcal,['Tomate (à cuire)', 'Pâte brisée', 'Vinaigre balsamique', 'Sucre (en poudre)'],['700 g', '1  ', '4 càc', '20 g'],,,,,,,,,,,,,,,,,,
83,https://jow.fr/recipes/gratin-de-chou-fleur-81t064gmduv400uo0lcx,Gratin de chou-fleur,-2 € par portion,4 minutes,25 minutes,0 minutes,356 kcal,['Chou-fleur (frais)', 'Farine de blé', 'Fromage râpé', 'Beurre', 'Lait'],['250 g', '13 g', '30 g', '13 g', '13 cl'],,,,,,,,,,,,,,,,
